web_name,now_cost,total_points,ep_next,chance_of_playing_next_round,element_type,team,position,team_name
Alexander-Arnold,7.5,210,5.5,,2,11,Defender,Liverpool
Robertson,7.0,181,5.1,,2,11,Defender,Liverpool
van Dijk,6.5,178,4.7,,2,11,Defender,Liverpool
Matip,5.5,39,4.0,,2,11,Defender,Liverpool
Gomez,5.5,93,4.0,,2,11,Defender,Liverpool
Azpilicueta,6.0,130,3.9,,2,5,Defender,Chelsea
Alonso,6.0,100,3.9,,2,5,Defender,Chelsea
Tsimikas,5.0,0,3.6,,2,11,Defender,Liverpool
David Luiz,5.5,94,3.5,,2,1,Defender,Arsenal
Tierney,5.5,42,3.5,,2,1,Defender,Arsenal
Thiago Silva,5.5,0,3.5,,2,5,Defender,Chelsea
Söyüncü,5.5,120,3.5,,2,9,Defender,Leicester
Doherty,6.0,167,3.4,,2,17,Defender,Spurs
Sokratis,5.0,57,3.1,,2,1,Defender,Arsenal
Cédric,5.0,61,3.1,,2,1,Defender,Arsenal
Bellerín,5.0,44,3.1,,2,1,Defender,Arsenal
Kolasinac,5.0,55,3.1,,2,1,Defender,Arsenal
Maitland-Niles,5.0,41,3.1,,2,1,Defender,Arsenal
Gabriel,5.0,0,3.1,,2,1,Defender,Arsenal
Rüdiger,5.0,63,3.1,,2,5,Defender,Chelsea
Zouma,5.0,62,3.1,,2,5,Defender,Chelsea
Emerson,5.0,19,3.1,,2,5,Defender,Chelsea
Christensen,5.0,34,3.1,,2,5,Defender,Chelsea
Tomori,5.0,48,3.1,,2,5,Defender,Chelsea
James,5.0,61,3.1,,2,5,Defender,Chelsea
Alderweireld,5.5,97,3.0,,2,17,Defender,Spurs
Aurier,5.5,124,3.0,,2,17,Defender,Spurs
Sánchez,5.5,64,3.0,,2,17,Defender,Spurs
Holding,4.5,16,2.6,,2,1,Defender,Arsenal
Saliba,4.5,0,2.6,,2,1,Defender,Arsenal
Benkovic,4.5,0,2.6,,2,9,Defender,Leicester
Justin,4.5,35,2.6,,2,9,Defender,Leicester
Thomas,4.5,15,2.6,,2,9,Defender,Leicester
Rose,5.0,47,2.6,,2,17,Defender,Spurs
Dier,5.0,36,2.6,,2,17,Defender,Spurs
Davies,5.0,41,2.6,,2,17,Defender,Spurs
Sessegnon,5.0,9,2.6,,2,17,Defender,Spurs
Tanganga,5.0,17,2.6,,2,17,Defender,Spurs
Williams,4.0,14,2.5,,2,11,Defender,Liverpool
Stevens,5.5,142,2.5,,2,15,Defender,Sheffield Utd
Baldock,5.5,142,2.5,,2,15,Defender,Sheffield Utd
Boly,5.5,97,2.5,,2,20,Defender,Wolves
Digne,6.0,120,2.4,,2,7,Defender,Everton
Fernández,5.0,102,2.1,,2,14,Defender,Newcastle
Basham,5.0,123,2.1,,2,15,Defender,Sheffield Utd
Egan,5.0,133,2.1,,2,15,Defender,Sheffield Utd
O'Connell,5.0,111,2.1,,2,15,Defender,Sheffield Utd
Bertrand,5.0,75,2.1,,2,16,Defender,Southampton
Stephens,5.0,85,2.1,,2,16,Defender,Southampton
Valery,5.0,18,2.1,,2,16,Defender,Southampton
Foyth,4.5,3,2.1,,2,17,Defender,Spurs
Ogbonna,5.0,81,2.1,,2,19,Defender,West Ham
Cresswell,5.0,79,2.1,,2,19,Defender,West Ham
Coady,5.0,118,2.1,,2,20,Defender,Wolves
Saïss,5.0,103,2.1,,2,20,Defender,Wolves
Mina,5.5,78,2.0,,2,7,Defender,Everton
Morgan,4.5,19,2.0,75.0,2,9,Defender,Leicester
Ward,4.5,77,1.6,,2,6,Defender,Crystal Palace
Kelly,4.5,64,1.6,,2,6,Defender,Crystal Palace
Dann,4.5,51,1.6,,2,6,Defender,Crystal Palace
Coleman,5.0,55,1.6,,2,7,Defender,Everton
Keane,5.0,90,1.6,,2,7,Defender,Everton
Holgate,5.0,71,1.6,,2,7,Defender,Everton
Clark,4.5,49,1.6,,2,14,Defender,Newcastle
Lejeune,4.5,24,1.6,,2,14,Defender,Newcastle
Lascelles,4.5,73,1.6,100.0,2,14,Defender,Newcastle
Dummett,4.5,44,1.6,,2,14,Defender,Newcastle
Manquillo,4.5,65,1.6,,2,14,Defender,Newcastle
Krafth,4.5,37,1.6,,2,14,Defender,Newcastle
Yedlin,4.5,26,1.6,,2,14,Defender,Newcastle
Jack Robinson,4.5,14,1.6,,2,15,Defender,Sheffield Utd
Vestergaard,4.5,51,1.6,,2,16,Defender,Southampton
Walker-Peters,4.5,32,1.6,,2,16,Defender,Southampton
Bednarek,4.5,84,1.6,,2,16,Defender,Southampton
Salisu,4.5,0,1.6,,2,16,Defender,Southampton
Fredericks,4.5,74,1.6,,2,19,Defender,West Ham
Masuaku,4.5,26,1.6,,2,19,Defender,West Ham
Balbuena,4.5,40,1.6,,2,19,Defender,West Ham
Diop,4.5,76,1.6,,2,19,Defender,West Ham
Bennett,4.5,32,1.6,,2,20,Defender,Wolves
Vinagre,4.5,32,1.6,,2,20,Defender,Wolves
Dunk,5.0,128,1.1,,2,3,Defender,Brighton
Kenny,4.5,0,1.1,,2,7,Defender,Everton
Bryan,5.0,0,1.1,,2,8,Defender,Fulham
Schär,5.0,55,1.1,50.0,2,14,Defender,Newcastle
Ajayi,5.0,0,1.1,,2,18,Defender,West Brom
Mitchell,4.0,4,1.0,,2,6,Defender,Crystal Palace
Vokins,4.0,2,1.0,,2,16,Defender,Southampton
Johnson,4.0,6,1.0,,2,19,Defender,West Ham
Buur,4.0,0,1.0,,2,20,Defender,Wolves
Kilman,4.0,5,1.0,,2,20,Defender,Wolves
Burn,4.5,86,0.6,,2,3,Defender,Brighton
Webster,4.5,88,0.6,,2,3,Defender,Brighton
Veltman,4.5,0,0.6,,2,3,Defender,Brighton
White,4.5,0,0.6,,2,3,Defender,Brighton
Lamptey,4.5,26,0.6,,2,3,Defender,Brighton
Le Marchand,4.5,0,0.6,,2,8,Defender,Fulham
Ream,4.5,0,0.6,,2,8,Defender,Fulham
Hector,4.5,0,0.6,,2,8,Defender,Fulham
Christie,4.5,0,0.6,,2,8,Defender,Fulham
Mawson,4.5,0,0.6,,2,8,Defender,Fulham
Sessegnon,4.5,0,0.6,,2,8,Defender,Fulham
Robinson,4.5,0,0.6,,2,8,Defender,Fulham
Gibbs,4.5,0,0.6,,2,18,Defender,West Brom
Bartley,4.5,0,0.6,,2,18,Defender,West Brom
Hegazi,4.5,0,0.6,,2,18,Defender,West Brom
Townsend,4.5,0,0.6,,2,18,Defender,West Brom
Furlong,4.5,0,0.6,,2,18,Defender,West Brom
O'Shea,4.5,0,0.6,,2,18,Defender,West Brom
Branthwaite,4.0,11,0.5,,2,7,Defender,Everton
Cooper,4.5,0,0.1,,2,10,Defender,Leeds
Ayling,4.5,0,0.1,,2,10,Defender,Leeds
Dallas,4.5,0,0.1,,2,10,Defender,Leeds
Alioski,4.5,0,0.1,,2,10,Defender,Leeds
Koch,4.5,0,0.1,,2,10,Defender,Leeds
Mustafi,5.0,43,0.0,0.0,2,1,Defender,Arsenal
Marí,4.5,8,0.0,0.0,2,1,Defender,Arsenal
Chambers,4.5,42,0.0,0.0,2,1,Defender,Arsenal
El Mohamady,4.5,39,0.0,,2,2,Defender,Aston Villa
Taylor,4.5,22,0.0,,2,2,Defender,Aston Villa
Engels,4.5,42,0.0,,2,2,Defender,Aston Villa
Hause,4.5,34,0.0,,2,2,Defender,Aston Villa
Mings,5.0,90,0.0,,2,2,Defender,Aston Villa
Targett,4.5,80,0.0,,2,2,Defender,Aston Villa
Bree,4.5,0,0.0,0.0,2,2,Defender,Aston Villa
Konsa,4.5,65,0.0,,2,2,Defender,Aston Villa
Guilbert,4.5,62,0.0,,2,2,Defender,Aston Villa
Duffy,4.5,44,0.0,0.0,2,3,Defender,Brighton
